SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"2,32,304  2 Lacs+","47,834  47 Thou+",Nil,Nil,Nil,Nil, 280138
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Bank Of India 15051010390001247
10,055  10 Thou+

Bank Of India
1,35,167  1 Lacs+

Rajarambapu Sahakari Bank Ltd
42,332  42 Thou+

Rajarambapu Patil Sahakari Sugar Factory
19,724  19 Thou+","Bank Of India
11,556  11 Thou+

HDFC Bank
70,042  70 Thou+

Rajarambapu Sahakari Bank Ltd
50,640  50 Thou+

Bank Of Baroda Napancy Road
35,365  35 Thou+

Rajarambapu Sahakari Bank Ltd
34,121  34 Thou+",Nil,Nil,Nil,Nil, 409002
iii,"Bonds, Debentures and Shares in companies","Unlisted
4,29,08,800  4 Crore+

Mutual Funds
2,30,000  2 Lacs+

Firm
5,12,45,529  5 Crore+","Listed
31,721  31 Thou+

Unlisted
1,03,750  1 Lacs+

Firm
50,000  50 Thou+

65,000  65 Thou+",Nil,Nil,Nil,Nil, 94634800
iv,"(a)
NSS, Postal Savings etc","Post Office
28,84,439  28 Lacs+","Post Office
10,55,592  10 Lacs+",Nil,Nil,Nil,Nil, 3940031
"(b)
LIC or other insurance Policies","LIC Policy Insurance
85,69,072  85 Lacs+","LIC Policy Insurance
11,63,750  11 Lacs+",Nil,Nil,Nil,Nil,"Rs 97,32,822
97 Lacs+",0
v,Personal loans/advance given,"1,32,25,000  1 Crore+","22,17,860  22 Lacs+",Nil,Nil,Nil,Nil, 15442860
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Jewellery (give details weight value),"Gold 336 Gram
6,51,129  6 Lacs+","Gold 792 Gram
29,03,740  29 Lacs+",Nil,Nil,Nil,Nil, 3554869
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"12,01,61,550  12 Crore+","71,21,781  71 Lacs+",Nil,Nil,Nil,Nil, 127283331
xi,Totals (Calculated as Sum of Values),"Rs 12,01,53,551
12 Crore+","Rs 78,40,971
78 Lacs+",Nil,Nil,Nil,Nil, 127994522
